id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight,categories,mechanics,families,designers,artists,publishers,expansions,integrations,compilations,implementations
15126,boardgame,Advanced Squad Leader: Starter Kit #2,2005,2,2,180,180,180,12,847,7.88902,6.78349,1979,31,101,262,288,164,3.7805,Wargame|World War II,Dice Rolling|Hex-and-Counter,Advanced Squad Leader|Advanced Squad Leader Starter Kit,Ken Dunn,Ken Dunn|Kurt Miller,Multi-Man Publishing,Advanced Squad Leader Starter Kit Scenario Design Contest|Rally Point Volume 2: Advanced Squad Leader Starter Kit Special Study|Special Ops Issue #5|Special Ops Issue #6|Sweeping the Doorstep,,,
27364,boardgame,Caylus Magna Carta,2007,2,4,75,45,75,10,4035,7.01143,6.78275,5409,324,133,545,1385,463,2.8812,Card Game|City Building|Economic|Medieval,Hand Management|Worker Placement,Caylus|Ystari originals,William Attia,Arnaud Demaegd,"Esdevium|HUCH! & friends|Korea Boardgames co., Ltd.|Lautapelit.fi|Quined White Goblin Games|Rio Grande Games|Ystari Games",Caylus Magna Carta: The Favors|Caylus Magna Carta: The Library|Ystari Box,,,Caylus
230,boardgame,Merchant of Venus,1988,1,6,180,180,180,12,2265,7.20438,6.78261,2658,75,305,870,844,278,2.8381,Economic|Exploration|Science Fiction|Space Exploration|Transportation,Commodity Speculation|Dice Rolling|Pick-up and Deliver|Point to Point Movement|Roll / Spin and Move,Solitaire Games,Richard Hamblen,"Charles Kibler|George I. Parrish, Jr.|Regina De Simone",Avalon Hill,,,,Merchant of Venus (second edition)
42910,boardgame,Peloponnes,2009,1,5,45,45,45,10,1909,7.23117,6.78042,1857,33,277,844,622,195,2.3897,Ancient|City Building|Civilization,Auction/Bidding|Tile Placement,Admin: Better Description Needed!|Country: Greece|Solitaire Games,Bernd Eisenstein,Matthias Catrein,Blue Orange (EU)|Irongames,Peloponnes Box|Peloponnes Expansion|Peloponnes: Antioche|Peloponnes: Athens-Mini Expansion|Peloponnes: Goat Expansion|Peloponnes: Hellas Expansion|Peloponnes: Sacrum Expansion|Peloponnes: Trade Expansion|Peloponnes: Victoria Expansion,,,
30618,boardgame,Eat Poop You Cat,1984,3,99,20,20,20,0,1227,7.48899,6.77961,637,2,13,107,409,99,1.1313,Humor|Party Game,Line Drawing|Paper-and-Pencil,,(Uncredited),,(Public Domain),,,,Telestrations
25821,boardgame,The Werewolves of Miller's Hollow,2001,8,18,30,30,30,10,5822,6.97283,6.77857,8598,190,44,415,1270,538,1.3197,Bluffing|Deduction|Horror|Murder/Mystery|Party Game,Partnerships|Player Elimination|Role Playing|Variable Player Powers|Voting,Werewolf / Mafia,Philippe des Pallières|Hervé Marly,Alexios Tjoyas,"999 Games|Asmodee|Crómola|förlAgo AB|Granna|Lui-même|Morapiaf|Swan Panasia Co., Ltd.",Ultimate Werewolf Artifacts|The Werewolves of Miller's Hollow: Characters|The Werewolves of Miller's Hollow: New Moon,,The Werewolves of Miller's Hollow: The Pact,The Werewolves of Miller's Hollow: The Village|Werewolf
37628,boardgame,Haggis,2010,2,3,45,45,45,13,2778,7.0972,6.77783,4288,178,147,562,917,185,2.1405,Card Game,Betting/Wagering|Hand Management|Trick-taking,Climbing Games|Country: Scotland|Games by the Game Artisans of Canada|Postcard Box Games|Shedding Games|Traditional Card Games,Sean Ross (I),Luis Francisco|Gary Simpson,Indie Boards & Cards,,,,
129948,boardgame,The Palaces of Carrara,2012,2,4,60,60,60,10,1822,7.25638,6.77613,2032,36,386,937,486,150,2.5867,City Building|Economic|Medieval,Set Collection|Tile Placement,Admin: Better Description Needed!|Country: Italy,Michael Kiesling|Wolfgang Kramer,Franz Vohwinkel,Filosofia Éditions|Hans im Glück Verlags-GmbH|White Goblin Games|Z-Man Games,,,,
25568,boardgame,Metropolys,2008,2,4,45,45,45,8,3245,7.04161,6.77566,3027,80,283,791,995,363,2.2204,City Building,Area Control / Area Influence|Auction/Bidding,Ystari originals,Sébastien Pauchon,Mathieu Leyssenne,HUCH! & friends|Quined White Goblin Games|Rio Grande Games|Ystari Games,Metropolys: Extension Cards|Ystari Box,,,
132028,boardgame,Conflict of Heroes: Awakening the Bear! (second edition),2012,1,4,120,120,120,13,659,8.21961,6.77379,1553,29,136,466,170,73,3.2877,Wargame|World War II,Action Point Allowance System|Dice Rolling|Hex-and-Counter|Modular Board|Simulation,Conflict of Heroes,Uwe Eickert,Pavlos Germidis|Steve Paschal|Patrick Ward,Academy Games|Devir|Schwerkraft-Verlag,Conflict of Heroes Expansion Pack: Map Board #6 – The Marsh|Conflict of Heroes: Awakening the Bear – Firefight Generator|Conflict of Heroes: Duty-Bound|Conflict of Heroes: Eastern Front – Solo Expansion|Conflict of Heroes: Monster Tanks of the Eastern Front|Conflict of Heroes: Price of Honour – Poland 1939|Conflict of Heroes: Wrecks and Destruction on the Eastern Front,,,Conflict of Heroes: Awakening the Bear! – Russia 1941-42
